食物名稱,類型,水分,蛋白質,脂肪,碳水,熱量
希爾思 成貓 雞肉,乾糧,8.10%,34.40%,21.40%,36.10%,4025cal/1kg
希爾思 成貓 低卡,乾糧,13.10%,38.10%,9.10%,39.70%,3179cal/1kg
嘿囉 成貓 無穀雞肉,乾糧,5.60%,33.50%,16.90%,44.00%,3599cal/1kg
法米納 成貓 無穀雞肉,乾糧,8.00%,38.00%,10.00%,44.00%,3557cal/1kg
紐崔斯 無榖養生室內貓- 火雞肉+雞肉+鴨肉口味,乾糧,10%,36%,14%,40%,3750cal/1kg
歐睿健 鮮雞室內貓無榖貓,乾糧,10%,42%,15%,33%,3710cal/1kg
歐睿健 鮮雞愛貓無榖貓,乾糧,10%,40%,20%,30%,4160cal/1kg
歐睿健 六種鮮魚無榖貓,乾糧,10%,40%,19%,31%,4070cal/1kg
心靈雞湯 成貓配方 美國特選雞肉佐火雞肉,乾糧,10%,34%,18%,38%,3796cal/1kg
心靈雞湯 成貓配方 大西洋鮭魚佐雞肉,乾糧,10%,34%,18%,38%,3775cal/1kg
Instinct 原點 無榖雞肉,乾糧,9%,43%,19.50%,28.50%,4150cal/1kg
wellness core無榖火雞肉,乾糧,10%,45%,18%,27%,3977cal/1kg
